"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"AQY210EH","Panasonic Electric Works","255-1430-5-ND","","","Tube","Active","2","3,06000","6,12 €","2185","14 Weeks","SSR RELAY SPST-NO 130MA 0-350V","RoHS Compliant","Lead free","Not Available"
"AQW212","Panasonic Electric Works","255-1965-ND","","","Tube","Active","2","4,25000","8,50 €","1686","12 Weeks","SSR RELAY SPST-NO 500MA 0-60V","RoHS Compliant","Lead free","Not Available"
"A 08-LC-TT","Assmann WSW Components","AE9986-ND","","","Tube","Active","2","0,15000","0,30 €","46442","20 Weeks","CONN IC DIP SOCKET 8POS TIN","ROHS3 Compliant","Lead free","REACH Unaffected"
"110-87-304-41-001101","Preci-Dip","1212-1001-ND","","","Tube","Active","2","0,20000","0,40 €","21482","10 Weeks","CONN IC DIP SOCKET 4POS GOLD","ROHS3 Compliant","Lead free","REACH Unaffected"
"LRS-35-5","MEAN WELL USA Inc.","1866-3343-ND","","","Box","Active","1","9,82000","9,82 €","1119","15 Weeks","AC/DC CONVERTER 5V 35W","ROHS3 Compliant","Lead free","Not Available"
"IRF3205PBF","Infineon Technologies","IRF3205PBF-ND","","","Tube","Active","18","0,80900","14,56 €","5173","39 Weeks","MOSFET N-CH 55V 110A TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"SPK4-0.006-00-58","Bergquist","BER220-ND","","","Bulk","Active","18","0,14300","2,57 €","42094","10 Weeks","THERM PAD 19.05MMX12.7MM GRAY","ROHS3 Compliant","Lead free","Not Available"
"TIP31C","STMicroelectronics","497-2615-5-ND","","","Tube","Active","3","0,56000","1,68 €","18016","10 Weeks","TRANS NPN 100V 3A TO-220","ROHS3 Compliant","Lead free","REACH Unaffected"
"LM7805CT/NOPB","Texas Instruments","296-47192-ND","","","Tube","Active","3","1,28000","3,84 €","17610","6 Weeks","IC REG LINEAR 5V 1A TO220-3","ROHS3 Compliant","Contains lead","REACH Affected"
"1N4007-TP","Micro Commercial Co","1N4007-TPMSCT-ND","","","Cut Tape (CT)","Active","20","0,07600","1,52 €","25232","12 Weeks","DIODE GEN PURP 1KV 1A DO41","ROHS3 Compliant","Lead free","REACH Unaffected"
"NTCALUG01A103J","Vishay Beyschlag/Draloric/BC Components","BC2380-ND","","","Bulk","Active","1","1,74000","1,74 €","7690","12 Weeks","THERM NTC 10KOHM 3984K RING LUG","ROHS3 Compliant","Lead free","REACH Unaffected"
"FW20A10R0JA","Bourns Inc.","FW20A10R0JACT-ND","","","Cut Tape (CT)","Active","10","0,37900","3,79 €","33452","20 Weeks","RES 10 OHM 2W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"CF18JT2K20","Stackpole Electronics Inc","CF18JT2K20CT-ND","","","Cut Tape (CT)","Active","25","0,02680","0,67 €","131525","23 Weeks","RES 2.2K OHM 1/8W 5% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"RNF14FTD100K","Stackpole Electronics Inc","RNF14FTD100KCT-ND","","","Cut Tape (CT)","Active","25","0,03680","0,92 €","183839","21 Weeks","RES 100K OHM 1/4W 1% AXIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"K474Z20Y5VE5TL2","Vishay Beyschlag/Draloric/BC Components","BC1150CT-ND","","","Cut Tape (CT)","Active","10","0,29600","2,96 €","5451","15 Weeks","CAP CER 0.47UF 25V Y5V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"UPW2V2R2MPD","Nichicon","493-2045-ND","","","Bulk","Active","3","0,44000","1,32 €","1574","18 Weeks","CAP ALUM 2.2UF 20% 350V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN2R2M025ST","Cornell Dubilier Electronics (CDE)","338-3591-ND","","","Bulk","Obsolete","3","0,52000","1,56 €","507","20 Weeks","CAP ALUM 2.2UF 20% 25V RADIAL","ROHS3 Compliant","Lead free","Not Available"
"USR1E100MDD1TE","Nichicon","493-17428-1-ND","","","Cut Tape (CT)","Active","3","0,23000","0,69 €","6068","16 Weeks","CAP ALUM 10UF 20% 25V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"ESK107M025AE3EA","KEMET","399-6650-1-ND","","","Cut Tape (CT)","Active","3","0,18000","0,54 €","73198","21 Weeks","CAP ALUM 100UF 20% 25V RADIAL","ROHS3 Compliant","Lead free","REACH Unaffected"
"ECQ-E6225JF","Panasonic Electronic Components","P14524-ND","","","Bulk","Active","2","2,72000","5,44 €","246","19 Weeks","CAP FILM 2.2UF 5% 630VDC RADIAL","ROHS3 Compliant","Lead free","Not Available"
"187B24","Hammond Manufacturing","HM4736-ND","","","Box","Active","1","9,36000","9,36 €","37","12 Weeks","PWR XFMR LAMINATED 6VA CHAS MT","ROHS3 Compliant","Lead free","REACH Unaffected"
"166N24","Hammond Manufacturing","HM548-ND","","","Bulk","Active","1","28,00000","28,00 €","36","12 Weeks","PWR XFMR LAMINATED 96VA CHAS MT","ROHS3 Compliant","Lead free","REACH Unaffected"
"F-251X","Triad Magnetics","237-1946-ND","","","Box","Active","1","14,16000","14,16 €","3","23 Weeks","PWR XFMR LAMINATED 28VA CHAS MT","ROHS3 Compliant","Lead free","REACH Unaffected"
"F7-16","Triad Magnetics","237-1711-ND","","","Box","Active","1","15,09000","15,09 €","105","23 Weeks","PWR XFMR LAMINATED 56VA CHAS MT","ROHS3 Compliant","Lead free","REACH Unaffected"
"NE555P","Texas Instruments","296-NE555P-ND","","","Tube","Active","5","0,29000","1,45 €","3876","35 Weeks","IC OSC SINGLE TIMER 100KHZ 8-DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"LM393N/NOPB","Texas Instruments","LM393NNS/NOPB-ND","","","Tube","Active","5","0,76000","3,80 €","15577","6 Weeks","IC COMP DUAL LO PWR 8-DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"LM393P","Texas Instruments","296-1398-5-ND","","","Tube","Active","5","0,29000","1,45 €","17081","35 Weeks","IC DUAL DIFF COMP 8-DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74HC04N","Texas Instruments","296-1566-5-ND","","","Tube","Active","3","0,51000","1,53 €","16577","6 Weeks","IC INVERTER 6CH 6-INP 14DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"IR2113PBF","Infineon Technologies","IR2113PBF-ND","","","Tube","Active","2","3,64000","7,28 €","1468","12 Weeks","IC GATE DRVR HALF-BRIDGE 14DIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"IRLZ44NPBF","Infineon Technologies","IRLZ44NPBF-ND","","","Tube","Active","5","0,85000","4,25 €","8272","39 Weeks","MOSFET N-CH 55V 47A TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"L7805CV","STMicroelectronics","497-1443-5-ND","","","Tube","Active","5","0,47000","2,35 €","35943","20 Weeks","IC REG LINEAR 5V 1.5A TO220AB","ROHS3 Compliant","Lead free","REACH Unaffected"
"LM340T-12/NOPB","Texas Instruments","LM340T-12/NOPB-ND","","","Tube","Active","4","1,28000","5,12 €","5102","6 Weeks","IC REG LINEAR 12V 1.5A TO220-3","ROHS3 Compliant","Lead free","REACH Unaffected"
"5-5530843-0","TE Connectivity AMP Connectors","A31722-ND","","","Bulk","Active","4","1,69000","6,76 €","15633","5 Weeks","CONN CARDEDGE FEMALE 20POS 0.100","RoHS Compliant","Lead free","Not Available"